molecule_id,smiles,pdb_id,status,error,best_affinity_kcal,affinity_pose2_kcal,affinity_pose3_kcal,affinity_pose4_kcal,affinity_pose5_kcal,all_scores,n_poses,pocket_ligand,pocket_center,box_size,all_poses_file,best_pose_file,complex_pdb,gene,pIC50,qed,mw,logp,composite_score,pred_active_prob
CHEMBL355816,O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8A2D,success,,-8.953,-8.502,-8.167,-7.336,-7.297,"[-8.953, -8.502, -8.167, -7.336, -7.297, -6.849, -6.668, -6.614, -6.493]",9,KXY,"-2.67,-10.60,21.11",30.7x23.2x24.2,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL355816/CHEMBL355816_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL355816/CHEMBL355816_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL355816/CHEMBL355816_complex.pdb,EGFR,9.55284196865778,0.6312422422594748,373.0174367240001,3.027400000000001,0.501569419354614,0.9914542226833267
CHEMBL162034,CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8A2D,success,,-8.384,-7.929,-7.793,-7.261,-6.853,"[-8.384, -7.929, -7.793, -7.261, -6.853, -6.674, -6.634, -6.393, -6.369]",9,KXY,"-2.67,-10.60,21.11",30.7x23.2x24.2,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL162034/CHEMBL162034_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL162034/CHEMBL162034_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL162034/CHEMBL162034_complex.pdb,EGFR,8.958607314841775,0.6750690396489035,386.0854567080001,3.5044000000000004,0.4991156220071826,0.9970718498089466
CHEMBL53796,CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8A2D,success,,-8.465,-8.228,-7.968,-7.909,-7.694,"[-8.465, -8.228, -7.968, -7.909, -7.694, -7.613, -7.607, -7.056, -6.384]",9,KXY,"-2.67,-10.60,21.11",30.7x23.2x24.2,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL53796/CHEMBL53796_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL53796/CHEMBL53796_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL53796/CHEMBL53796_complex.pdb,EGFR,8.017728766960431,0.7868681517234083,343.04325754800004,3.5969000000000015,0.4985695949251308,0.9797818794216063
CHEMBL93302,Oc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8A2D,success,,-9.174,-8.291,-8.283,-8.263,-7.905,"[-9.174, -8.291, -8.283, -8.263, -7.905, -7.716, -7.712, -7.466, -7.088]",9,KXY,"-2.67,-10.60,21.11",30.7x23.2x24.2,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL93302/CHEMBL93302_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL93302/CHEMBL93302_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL93302/CHEMBL93302_complex.pdb,EGFR,8.327902142064282,0.7539967479360956,315.00072404,3.841500000000001,0.49838721337018616,0.9749857397586978
CHEMBL6054692,CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,8A2D,success,,-9.211,-8.409,-8.215,-7.664,-7.65,"[-9.211, -8.409, -8.215, -7.664, -7.65, -7.525, -7.176, -6.967, -6.823]",9,KXY,"-2.67,-10.60,21.11",30.7x23.2x24.2,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL6054692/CHEMBL6054692_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL6054692/CHEMBL6054692_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL6054692/CHEMBL6054692_complex.pdb,EGFR,10.67778070526608,0.5625737917677195,471.14734549599996,4.595500000000004,0.4977068233084779,0.9670757454679773
CHEMBL2031297,CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8A2D,success,,-8.96,-8.941,-8.058,-7.975,-7.916,"[-8.96, -8.941, -8.058, -7.975, -7.916, -7.766, -7.634, -7.606, -7.383]",9,KXY,"-2.67,-10.60,21.11",30.7x23.2x24.2,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL2031297/CHEMBL2031297_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL2031297/CHEMBL2031297_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL2031297/CHEMBL2031297_complex.pdb,EGFR,9.55284196865778,0.6376846354210275,413.08512236,4.026100000000001,0.49694356831764924,0.972386211643961
CHEMBL163188,Cc1cccc(Nc2ncnc3cnc(N(C)C)cc23)c1,8A2D,success,,-8.778,-8.569,-8.537,-8.156,-7.817,"[-8.778, -8.569, -8.537, -8.156, -7.817, -7.59, -7.41, -6.924, -6.412]",9,KXY,"-2.67,-10.60,21.11",30.7x23.2x24.2,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL163188/CHEMBL163188_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL163188/CHEMBL163188_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A2D/CHEMBL163188/CHEMBL163188_complex.pdb,EGFR,8.55284196865778,0.79788980599441,279.148395544,3.1428200000000013,0.49277599794550975,0.8814962696959481
CHEMBL53711,CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5UG9,success,,-8.828,-8.239,-8.232,-8.175,-7.442,"[-8.828, -8.239, -8.232, -8.175, -7.442, -7.227, -7.173, -6.877, -6.497]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53711/CHEMBL53711_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53711/CHEMBL53711_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53711/CHEMBL53711_complex.pdb,EGFR,11.221848749616356,0.7868681517234083,343.04325754800004,3.5969000000000015,0.7605001669124617,0.996734122000391
CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5UG9,success,,-8.562,-8.041,-7.917,-7.546,-7.381,"[-8.562, -8.041, -7.917, -7.546, -7.381, -7.243, -7.136, -6.992, -6.986]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53753/CHEMBL53753_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53753/CHEMBL53753_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53753/CHEMBL53753_complex.pdb,EGFR,11.096910013008056,0.7686164717854101,329.02760748400004,3.572600000000002,0.7350780322235126,0.9992707221629314
CHEMBL53428,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5UG9,success,,-8.707,-7.939,-7.928,-7.461,-7.397,"[-8.707, -7.939, -7.928, -7.461, -7.397, -7.378, -7.35, -7.001, -6.741]",9,8AM,"-13.87,14.93,-26.73",21.7x22.4x22.7,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53428/CHEMBL53428_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53428/CHEMBL53428_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/5UG9/CHEMBL53428/CHEMBL53428_complex.pdb,EGFR,10.045757490560675,0.7868681517234083,343.04325754800004,3.5969000000000015,0.668909052483205,0.9988032691185057
