molecule_id,smiles,pdb_id,status,error,best_affinity_kcal,affinity_pose2_kcal,affinity_pose3_kcal,affinity_pose4_kcal,affinity_pose5_kcal,all_scores,n_poses,pocket_ligand,pocket_center,box_size,all_poses_file,best_pose_file,complex_pdb,gene,pIC50,qed,mw,logp,composite_score,pred_active_prob
CHEMBL5968640,CCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,8A27,success,,-11.092,-8.924,-8.767,-8.69,,"[-11.092, -8.924, -8.767, -8.69]",4,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5968640/CHEMBL5968640_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5968640/CHEMBL5968640_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5968640/CHEMBL5968640_complex.pdb,EGFR,10.657577319177793,0.6144559265502137,457.13169543199996,4.205400000000003,0.5540176844923824,0.9877957197118146
CHEMBL5993268,COC[C@@H]1CN(c2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C(=O)O1,8A27,success,,-9.323,-9.13,-7.397,-7.246,-6.979,"[-9.323, -9.13, -7.397, -7.246, -6.979, -6.729, -6.535, -6.371, -6.349]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5993268/CHEMBL5993268_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5993268/CHEMBL5993268_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5993268/CHEMBL5993268_complex.pdb,EGFR,10.42021640338319,0.6258617922008256,432.100060956,4.146100000000003,0.5502962334949704,0.9892084522607856
CHEMBL66031,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,8A27,success,,-9.524,-9.217,-9.025,-8.457,-8.422,"[-9.524, -9.217, -9.025, -8.457, -8.422, -8.294, -8.256, -8.251, -8.157]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL66031/CHEMBL66031_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL66031/CHEMBL66031_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL66031/CHEMBL66031_complex.pdb,EGFR,11.096910013008056,0.5785608229687813,339.01195742000004,4.012200000000001,0.5493633621846167,0.9921334141299925
CHEMBL2031296,CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8A27,success,,-9.468,-9.21,-8.618,-8.215,-8.081,"[-9.468, -9.21, -8.618, -8.215, -8.081, -8.047, -7.83, -7.441, -7.432]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL2031296/CHEMBL2031296_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL2031296/CHEMBL2031296_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL2031296/CHEMBL2031296_complex.pdb,EGFR,8.995678626217357,0.7408910662609094,356.027273136,4.094300000000001,0.5454082954156771,0.987774591832387
CHEMBL53062,COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8A27,success,,-8.307,-7.967,-7.736,-7.052,-7.021,"[-8.307, -7.967, -7.736, -7.052, -7.021, -6.903, -6.116, -6.107, -5.934]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53062/CHEMBL53062_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53062/CHEMBL53062_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53062/CHEMBL53062_complex.pdb,EGFR,8.585026652029182,0.795411943732026,330.0116230720001,3.539500000000002,0.5450824094125796,0.9735933658889445
CHEMBL5997498,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,8A27,success,,-11.004,-10.26,-9.456,-9.272,-8.913,"[-11.004, -10.26, -9.456, -9.272, -8.913]",5,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5997498/CHEMBL5997498_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5997498/CHEMBL5997498_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5997498/CHEMBL5997498_complex.pdb,EGFR,10.698970004336019,0.5954445269709847,471.147345496,4.595500000000005,0.5420683062181068,0.9928104154113659
CHEMBL176582,Cn1cnc2cc3ncnc(Nc4cccc(Br)c4)c3cc21,8A27,success,,-10.686,-8.853,-8.659,-8.646,-7.834,"[-10.686, -8.853, -8.659, -8.646, -7.834]",5,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL176582/CHEMBL176582_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL176582/CHEMBL176582_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL176582/CHEMBL176582_complex.pdb,EGFR,11.0,0.5907366330453319,353.027607484,4.0226000000000015,0.5417169542625401,0.9680401533161006
CHEMBL351629,CN(CC(=O)O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8A27,success,,-9.753,-9.078,-7.981,-7.704,-7.07,"[-9.753, -9.078, -7.981, -7.704, -7.07, -7.004]",6,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL351629/CHEMBL351629_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL351629/CHEMBL351629_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL351629/CHEMBL351629_complex.pdb,EGFR,9.356547323513812,0.6942731985293545,387.0330867880001,3.051700000000001,0.5383081437790288,0.9919618605619134
CHEMBL3814257,CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,8A27,success,,-9.513,-9.495,-9.094,-8.685,-8.584,"[-9.513, -9.495, -9.094, -8.685, -8.584, -7.984, -7.957, -7.828, -7.523]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL3814257/CHEMBL3814257_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL3814257/CHEMBL3814257_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL3814257/CHEMBL3814257_complex.pdb,EGFR,9.1791420105603,0.7575962262940837,330.06836690399996,4.124300000000002,0.5379354246037226,0.9296893783792639
CHEMBL592617,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8A27,success,,-8.976,-8.646,-7.914,-7.892,-7.864,"[-8.976, -8.646, -7.914, -7.892, -7.864, -7.547, -6.965, -6.833, -6.536]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL592617/CHEMBL592617_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL592617/CHEMBL592617_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL592617/CHEMBL592617_complex.pdb,EGFR,9.769551078621726,0.7122261442655314,381.022522104,3.988080000000002,0.5349187487333942,0.9122812620564056
CHEMBL5915655,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,8A27,success,,-8.779,-8.653,-8.612,-7.769,-7.124,"[-8.779, -8.653, -8.612, -7.769, -7.124, -6.81, -6.518, -6.256, -5.898]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5915655/CHEMBL5915655_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5915655/CHEMBL5915655_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL5915655/CHEMBL5915655_complex.pdb,EGFR,10.301029995663981,0.6123966701575512,445.131695432,4.061300000000004,0.531936577469388,0.9906191432357793
CHEMBL165864,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8A27,success,,-9.217,-8.299,-8.193,-8.169,-7.926,"[-9.217, -8.299, -8.193, -8.169, -7.926, -7.57, -7.095, -6.566, -6.501]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL165864/CHEMBL165864_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL165864/CHEMBL165864_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL165864/CHEMBL165864_complex.pdb,EGFR,9.721246399047171,0.6490621421214132,359.0381721680001,2.9351000000000003,0.5301726162019725,0.9980815250175711
CHEMBL53156,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8A27,success,,-8.349,-7.994,-7.838,-7.668,-7.664,"[-8.349, -7.994, -7.838, -7.668, -7.664, -7.403, -7.177, -7.133, -6.937]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53156/CHEMBL53156_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53156/CHEMBL53156_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL53156/CHEMBL53156_complex.pdb,EGFR,8.508638306165727,0.7686164717854101,329.02760748400004,3.5726000000000013,0.5290807850118402,0.9887736326688152
CHEMBL127082,CNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,8A27,success,,-8.928,-8.869,-8.403,-8.241,-8.171,"[-8.928, -8.869, -8.403, -8.241, -8.171, -8.089, -8.011, -7.844, -7.258]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL127082/CHEMBL127082_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL127082/CHEMBL127082_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL127082/CHEMBL127082_complex.pdb,EGFR,8.853871964321762,0.761492325423499,265.13274548,3.118520000000001,0.5280992112604892,0.9487482079233113
CHEMBL174426,Cn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,8A27,success,,-10.508,-9.205,-8.902,-8.832,-8.488,"[-10.508, -9.205, -8.902, -8.832, -8.488, -8.355, -8.31, -7.931]",8,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL174426/CHEMBL174426_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL174426/CHEMBL174426_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL174426/CHEMBL174426_complex.pdb,EGFR,10.602059991327963,0.5907366330453317,353.02760748400004,4.022600000000002,0.527965966781864,0.9851832764993372
CHEMBL127041,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8A27,success,,-8.547,-8.407,-8.201,-7.972,-7.719,"[-8.547, -8.407, -8.201, -7.972, -7.719, -7.695, -7.438, -7.437, -7.419]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL127041/CHEMBL127041_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL127041/CHEMBL127041_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL127041/CHEMBL127041_complex.pdb,EGFR,9.619788758288394,0.6490621421214132,359.038172168,2.9351000000000003,0.5238510703020552,0.9986601307189543
CHEMBL50519,COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8A27,success,,-8.411,-8.186,-7.981,-7.818,-7.659,"[-8.411, -8.186, -7.981, -7.818, -7.659, -7.628, -7.466, -7.107, -6.923]",9,KY9,"23.81,-10.62,-11.55",30.2x20.1x26.0,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL50519/CHEMBL50519_docked_all.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL50519/CHEMBL50519_best_pose.pdbqt,/Users/wangyang/Desktop/drug_pipeline/data/results/docking/EGFR/8A27/CHEMBL50519/CHEMBL50519_complex.pdb,EGFR,8.366531544420413,0.795411943732026,330.011623072,3.539500000000002,0.5233157909498688,0.9649068120880736
